-1.0000 0.0000 0.0000
-0.9979 -0.0505 0.0335
-0.9915 -0.1006 0.0669
-0.9809 -0.1502 0.1001
-0.9662 -0.1990 0.1330
-0.9473 -0.2466 0.1654
-0.9243 -0.2927 0.1973
-0.8973 -0.3371 0.2285
-0.8664 -0.3794 0.2590
-0.8317 -0.4193 0.2885
-0.7934 -0.4565 0.3169
-0.7515 -0.4908 0.3441
-0.7064 -0.5218 0.3700
-0.6581 -0.5491 0.3943
-0.6070 -0.5726 0.4169
-0.5533 -0.5917 0.4375
-0.4974 -0.6063 0.4561
-0.4398 -0.6160 0.4724
-0.3808 -0.6205 0.4861
-0.3211 -0.6196 0.4969
-0.2612 -0.6131 0.5048
-0.2019 -0.6008 0.5093
-0.1440 -0.5829 0.5102
-0.0881 -0.5594 0.5073
-0.0352 -0.5306 0.5003
0.0140 -0.4970 0.4889
0.0586 -0.4591 0.4730
0.0980 -0.4177 0.4525
0.1317 -0.3740 0.4273
0.1594 -0.3289 0.3977
0.1811 -0.2837 0.3636
0.1972 -0.2394 0.3256
0.2083 -0.1969 0.2838
0.2154 -0.1568 0.2387
0.2194 -0.1194 0.1910
0.2212 -0.0847 0.1411
0.2218 -0.0522 0.0897
0.2219 -0.0214 0.0373
0.2219 0.0088 -0.0155
0.2218 0.0393 -0.0681
0.2214 0.0710 -0.1200
0.2202 0.1047 -0.1706
0.2172 0.1409 -0.2194
0.2116 0.1800 -0.2656
0.2022 0.2216 -0.3089
0.1882 0.2654 -0.3487
0.1687 0.3105 -0.3845
0.1435 0.3559 -0.4160
0.1122 0.4004 -0.4430
0.0750 0.4430 -0.4654
0.0323 0.4825 -0.4831
-0.0153 0.5180 -0.4962
-0.0669 0.5488 -0.5050
-0.1218 0.5745 -0.5095
-0.1792 0.5946 -0.5100
-0.2381 0.6091 -0.5068
-0.2979 0.6178 -0.5002
-0.3579 0.6209 -0.4904
-0.4173 0.6184 -0.4777
-0.4756 0.6107 -0.4623
-0.5323 0.5979 -0.4445
-0.5870 0.5805 -0.4245
-0.6393 0.5585 -0.4026
-0.6888 0.5325 -0.3788
-0.7353 0.5027 -0.3534
-0.7785 0.4695 -0.3266
-0.8183 0.4332 -0.2986
-0.8544 0.3940 -0.2695
-0.8868 0.3523 -0.2393
-0.9152 0.3085 -0.2083
-0.9397 0.2628 -0.1766
-0.9601 0.2156 -0.1443
-0.9763 0.1671 -0.1115
-0.9884 0.1177 -0.0783
-0.9962 0.0676 -0.0449
-0.9998 0.0171 -0.0114
-0.9991 -0.0334 0.0222
-0.9941 -0.0838 0.0557
-0.9849 -0.1338 0.0890
-0.9715 -0.1829 0.1220
-0.9540 -0.2310 0.1545
-0.9323 -0.2778 0.1866
-0.9066 -0.3228 0.2180
-0.8769 -0.3659 0.2486
-0.8435 -0.4067 0.2784
-0.8063 -0.4449 0.3071
-0.7655 -0.4802 0.3347
-0.7214 -0.5124 0.3610
-0.6741 -0.5410 0.3858
-0.6238 -0.5658 0.4089
-0.5709 -0.5864 0.4302
-0.5156 -0.6026 0.4494
-0.4584 -0.6140 0.4663
-0.3997 -0.6202 0.4808
-0.3400 -0.6211 0.4925
-0.2801 -0.6165 0.5013
-0.2204 -0.6062 0.5068
-0.1619 -0.5901 0.5088
-0.1051 -0.5685 0.5071
-0.0511 -0.5414 0.5013
